"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MK2,MK1,MK3,MK5,MK4";"MountingHole_3.2mm_M3";5;"Mounting_Hole";;;
2;"U3";"U3V50F12StepUpReg";1;"U3V50F12";;;
3;"R16,R3,R30,R2,R1,R4,R6,R33,R17,R5";"R_0603_1608Metric";10;"4.7k";;;
4;"C3,C4";"C_0603_1608Metric_HandSolder";2;"0.1u";;;
5;"J7";"Molex_Micro-Fit_3.0_43650-0500_1x05_P3.00mm_Horizontal";1;"DISC PUMP";;;
6;"J14";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"BatteryToMainBoard";;;
7;"J6";"Molex_Micro-Fit_3.0_43650-0500_1x05_P3.00mm_Horizontal";1;"PFLOW";;;
8;"U2";"U3V50F24StepUpReg";1;"U3V50F24";;;
9;"U4";"PinHeader_1x04_P2.54mm_Vertical";1;"D36V6F5";;;
10;"R7";"R_0603_1608Metric";1;"2.2k";;;
11;"R18,R20,R19";"R_0805_2012Metric";3;"4.7k";;;
12;"J12";"Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal";1;"POWER_HEAT";;;
13;"U1";"Teensy41_Mounted";1;"Teensy4.1_Mounted";;;
14;"J11";"Molex_Micro-Fit_3.0_43045-1400_2x07_P3.00mm_Horizontal";1;"HEATER_SIGNAL_1";;;
15;"J3";"RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm";1;"Encoder";;;
16;"J8";"PinHeader_1x05_P2.54mm_Vertical";1;"RTC";;;
17;"J2";"128x64OLED";1;"OLED";;;
